,instance_indexinmglist,study_instance_indexinmglist
15491,622426_1,35683_622426_1
15564,622785_0,35700_622785_0
15568,622785_1,35700_622785_1
15578,622802_0,35701_622802_0
15582,622802_1,35701_622802_1
15595,622810_0,35701_622810_0
15599,622810_1,35701_622810_1
15626,622948_0,35709_622948_0
15630,622948_1,35709_622948_1
15718,623247_0,35722_623247_0
15722,623247_1,35722_623247_1
15798,624111_0,35762_624111_0
15802,624111_1,35762_624111_1
15818,624158_0,35765_624158_0
15822,624158_1,35765_624158_1
15826,624159_0,35765_624159_0
15830,624159_1,35765_624159_1
15891,624397_0,35780_624397_0
15895,624397_1,35780_624397_1
15958,624761_0,35800_624761_0
15962,624761_1,35800_624761_1
15971,624766_0,35800_624766_0
15975,624766_1,35800_624766_1
15989,624822_0,35805_624822_0
15990,624822_1,35805_624822_1
15991,624824_0,35805_624824_0
15992,624822_2,35805_624822_2
15993,624824_1,35805_624824_1
16078,627125_0,35919_627125_0
16082,627125_1,35919_627125_1
16090,627231_0,35925_627231_0
16094,627231_1,35925_627231_1
16181,628303_1,35988_628303_1
16182,628308_0,35988_628308_0
16183,628303_0,35988_628303_0
16184,628308_1,35988_628308_1
16235,628946_0,36022_628946_0
16236,628946_1,36022_628946_1
16282,629537_0,36053_629537_0
16286,629537_1,36053_629537_1
16290,629539_0,36053_629539_0
16294,629539_1,36053_629539_1
16445,630727_0,36105_630727_0
16449,630727_1,36105_630727_1
16539,631902_0,36164_631902_0
16543,631902_1,36164_631902_1
16574,632346_0,36186_632346_0
16578,632346_1,36186_632346_1
16589,632354_0,36186_632354_0
16593,632354_1,36186_632354_1
16789,633548_0,36246_633548_0
16793,633548_1,36246_633548_1
16844,633772_0,36259_633772_0
16848,633772_1,36259_633772_1
16861,633837_0,36263_633837_0
16865,633837_1,36263_633837_1
16902,634479_0,36300_634479_0
16906,634479_1,36300_634479_1
16972,634846_0,36318_634846_0
16976,634846_1,36318_634846_1
16980,634847_0,36318_634847_0
16984,634847_1,36318_634847_1
16990,634969_0,36327_634969_0
16991,634969_1,36327_634969_1
17007,635028_0,36329_635028_0
17008,635033_0,36329_635033_0
17015,635028_1,36329_635028_1
17023,635300_0,36345_635300_0
17027,635300_1,36345_635300_1
17102,636046_0,36389_636046_0
17106,636046_1,36389_636046_1
17263,638054_0,36497_638054_0
17267,638054_1,36497_638054_1
17278,638055_0,36497_638055_0
17282,638055_1,36497_638055_1
17307,638125_0,36499_638125_0
17311,638125_1,36499_638125_1
17389,638524_0,36521_638524_0
17393,638524_1,36521_638524_1
17397,638574_0,36525_638574_0
17401,638574_1,36525_638574_1
17421,638801_0,36536_638801_0
17425,638801_1,36536_638801_1
17440,638943_0,36544_638943_0
17444,638943_1,36544_638943_1
17456,638983_0,36546_638983_0
17480,639405_1,36565_639405_1
17481,639405_0,36565_639405_0
17559,639513_0,36571_639513_0
17563,639513_1,36571_639513_1
17603,639882_0,36588_639882_0
17607,639882_1,36588_639882_1
17611,639871_0,36588_639871_0
17615,639871_1,36588_639871_1
17680,640333_0,36612_640333_0
17684,640333_1,36612_640333_1
17700,640581_0,36622_640581_0
17701,640581_2,36622_640581_2
17702,640581_1,36622_640581_1
17703,640581_3,36622_640581_3
17745,640737_0,36630_640737_0
17750,640737_2,36630_640737_2
17754,640738_0,36630_640738_0
17758,640738_1,36630_640738_1
17778,641066_0,36647_641066_0
17782,641066_1,36647_641066_1
17786,641073_0,36647_641073_0
17790,641073_1,36647_641073_1
17816,641310_0,36658_641310_0
17820,641310_1,36658_641310_1
17841,641308_0,36658_641308_0
17905,641940_0,36686_641940_0
17909,641940_1,36686_641940_1
17910,641940_2,36686_641940_2
17977,642842_0,36736_642842_0
17981,642842_1,36736_642842_1
18036,643859_0,36792_643859_0
18040,643859_1,36792_643859_1
18109,644168_0,36808_644168_0
18113,644168_1,36808_644168_1
18117,644171_0,36808_644171_0
18121,644171_1,36808_644171_1
18125,644520_0,36824_644520_0
18129,644520_1,36824_644520_1
18269,646240_0,36922_646240_0
18273,646240_1,36922_646240_1
18383,647542_0,36986_647542_0
18387,647542_1,36986_647542_1
18391,647543_0,36986_647543_0
18395,647543_1,36986_647543_1
18429,647616_0,36989_647616_0
18433,647616_1,36989_647616_1
18556,648786_0,37049_648786_0
18560,648786_1,37049_648786_1
18564,648787_0,37049_648787_0
18568,648787_1,37049_648787_1
18784,649738_0,37102_649738_0
18788,649738_1,37102_649738_1
18792,649741_0,37102_649741_0
18796,649741_1,37102_649741_1
18841,649846_0,37107_649846_0
18845,649846_1,37107_649846_1
18852,649951_0,37114_649951_0
18856,649951_1,37114_649951_1
18860,649955_0,37114_649955_0
18864,649955_1,37114_649955_1
18886,650225_0,37125_650225_0
18890,650225_1,37125_650225_1
18925,650371_0,37133_650371_0
18929,650371_1,37133_650371_1
18979,651061_0,37167_651061_0
18983,651061_1,37167_651061_1
19027,651381_0,37191_651381_0
19031,651381_1,37191_651381_1
19047,651387_0,37191_651387_0
19051,651387_1,37191_651387_1
19061,651434_0,37192_651434_0
19065,651434_1,37192_651434_1
19159,651783_0,37211_651783_0
19163,651783_1,37211_651783_1
19270,652550_0,37253_652550_0
19274,652550_1,37253_652550_1
19283,652622_0,37259_652622_0
19287,652622_1,37259_652622_1
19346,653903_0,37318_653903_0
19350,653903_1,37318_653903_1
19365,653912_0,37318_653912_0
19369,653912_1,37318_653912_1
19383,653965_0,37321_653965_0
19387,653965_1,37321_653965_1
19419,654258_0,37336_654258_0
19423,654258_1,37336_654258_1
19494,654480_0,37345_654480_0
19498,654480_1,37345_654480_1
19509,654602_0,37350_654602_0
19513,654602_1,37350_654602_1
19554,654679_0,37356_654679_0
19558,654679_1,37356_654679_1
19572,655148_0,37379_655148_0
19576,655148_1,37379_655148_1
19596,655174_0,37380_655174_0
19600,655174_1,37380_655174_1
19695,655640_0,37404_655640_0
19699,655640_1,37404_655640_1
19703,655715_0,37407_655715_0
19704,655722_1,37407_655722_1
19705,655721_0,37407_655721_0
19706,655709_0,37407_655709_0
19719,655715_1,37407_655715_1
19720,655722_0,37407_655722_0
19721,655721_1,37407_655721_1
19722,655709_1,37407_655709_1
19735,655719_0,37407_655719_0
19736,655719_2,37407_655719_2
19743,655719_1,37407_655719_1
19744,655719_3,37407_655719_3
19791,655863_0,37416_655863_0
19795,655863_1,37416_655863_1
19822,656106_0,37428_656106_0
19826,656106_1,37428_656106_1
19844,656379_0,37444_656379_0
19848,656379_1,37444_656379_1
19852,656380_0,37444_656380_0
19856,656380_1,37444_656380_1
19939,656968_0,37474_656968_0
19943,656968_1,37474_656968_1
19981,657033_0,37477_657033_0
19985,657033_1,37477_657033_1
19989,657168_0,37483_657168_0
19993,657168_1,37483_657168_1
20006,657263_0,37489_657263_0
20010,657263_1,37489_657263_1
20014,657266_0,37489_657266_0
20018,657266_1,37489_657266_1
20040,657320_0,37491_657320_0
20044,657320_1,37491_657320_1
20110,657790_0,37513_657790_0
20114,657790_1,37513_657790_1
20257,658866_0,37566_658866_0
20261,658866_1,37566_658866_1
20265,658867_0,37566_658867_0
20269,658867_1,37566_658867_1
20291,659192_0,37582_659192_0
20295,659192_1,37582_659192_1
20303,659187_0,37582_659187_0
20307,659187_1,37582_659187_1
20368,659828_0,37616_659828_0
20372,659828_1,37616_659828_1
20376,659829_0,37616_659829_0
20380,659829_1,37616_659829_1
20444,660069_0,37630_660069_0
20445,660068_0,37630_660068_0
20446,660069_1,37630_660069_1
20447,660068_1,37630_660068_1
20494,660088_0,37632_660088_0
20498,660088_1,37632_660088_1
20565,660622_0,37670_660622_0
20569,660622_1,37670_660622_1
20583,660767_0,37677_660767_0
20584,660767_1,37677_660767_1
20591,660767_2,37677_660767_2
20608,660804_0,37681_660804_0
20612,660804_1,37681_660804_1
20634,660950_0,37693_660950_0
20635,660954_1,37693_660954_1
20636,660950_1,37693_660950_1
20637,660954_0,37693_660954_0
20674,661302_0,37714_661302_0
20678,661302_1,37714_661302_1
20731,661458_0,37720_661458_0
20735,661458_1,37720_661458_1
20770,661906_0,37746_661906_0
20774,661906_1,37746_661906_1
20818,662259_0,37761_662259_0
20822,662259_1,37761_662259_1
20954,663148_0,37807_663148_0
20958,663148_1,37807_663148_1
21003,663444_0,37820_663444_0
21004,663440_0,37820_663440_0
21005,663444_1,37820_663444_1
21006,663440_1,37820_663440_1
21038,663474_0,37822_663474_0
21039,663472_0,37822_663472_0
21040,663471_0,37822_663471_0
21050,663474_1,37822_663474_1
21051,663472_1,37822_663472_1
21052,663471_1,37822_663471_1
21067,663477_0,37822_663477_0
21071,663477_1,37822_663477_1
21118,663719_0,37835_663719_0
21122,663719_1,37835_663719_1
21170,663780_0,37839_663780_0
21171,663781_0,37839_663781_0
21178,663780_1,37839_663780_1
21179,663781_1,37839_663781_1
21198,663876_0,37843_663876_0
21202,663876_1,37843_663876_1
21233,663958_0,37848_663958_0
21291,664728_0,37889_664728_0
21295,664728_1,37889_664728_1
21410,665354_0,37925_665354_0
21414,665354_1,37925_665354_1
21418,665355_0,37925_665355_0
21422,665355_1,37925_665355_1
21472,665878_2,37950_665878_2
21476,665878_3,37950_665878_3
21596,666599_0,37989_666599_0
21600,666599_1,37989_666599_1
21626,666766_0,38000_666766_0
21630,666766_1,38000_666766_1
21784,670375_0,38187_670375_0
21788,670375_1,38187_670375_1
21811,670422_0,38189_670422_0
21815,670422_1,38189_670422_1
22026,672677_0,38299_672677_0
22030,672677_1,38299_672677_1
22039,672675_0,38299_672675_0
22043,672675_1,38299_672675_1
22086,674153_0,38375_674153_0
22090,674153_1,38375_674153_1
22100,674188_0,38378_674188_0
22104,674188_1,38378_674188_1
22149,674425_0,38394_674425_0
22153,674425_1,38394_674425_1
22172,674435_0,38394_674435_0
22176,674435_1,38394_674435_1
22193,674569_0,38405_674569_0
22197,674569_1,38405_674569_1
22207,674582_0,38405_674582_0
22211,674582_1,38405_674582_1
22335,675409_0,38450_675409_0
22339,675409_1,38450_675409_1
22366,675816_0,38469_675816_0
22370,675816_1,38469_675816_1
22469,676847_0,38522_676847_0
22473,676847_1,38522_676847_1
22533,677272_0,38542_677272_0
22537,677272_1,38542_677272_1
22577,677394_0,38545_677394_0
22581,677394_1,38545_677394_1
22634,677897_0,38573_677897_0
22638,677897_1,38573_677897_1
22662,678027_0,38580_678027_0
22666,678027_1,38580_678027_1
22685,678034_0,38581_678034_0
22689,678034_1,38581_678034_1
22725,678183_0,38590_678183_0
22726,678184_0,38590_678184_0
22733,678183_1,38590_678183_1
22734,678184_1,38590_678184_1
22746,678191_0,38590_678191_0
22750,678191_1,38590_678191_1
22769,678402_0,38601_678402_0
22773,678402_1,38601_678402_1
22807,678818_0,38623_678818_0
22811,678818_1,38623_678818_1
22829,678972_0,38630_678972_0
22830,678975_0,38630_678975_0
22837,678972_1,38630_678972_1
22838,678975_1,38630_678975_1
22845,678984_0,38631_678984_0
22849,678984_1,38631_678984_1
22925,679024_0,38633_679024_0
22929,679024_1,38633_679024_1
22954,679068_0,38636_679068_0
22958,679068_1,38636_679068_1
22991,679168_0,38644_679168_0
22995,679168_1,38644_679168_1
23007,679751_0,38678_679751_0
23011,679751_1,38678_679751_1
23028,679882_0,38685_679882_0
23032,679882_1,38685_679882_1
23036,679884_0,38685_679884_0
23040,679884_1,38685_679884_1
23072,681203_0,38751_681203_0
23076,681203_1,38751_681203_1
23080,681207_0,38751_681207_0
23084,681207_1,38751_681207_1
23205,682636_0,38825_682636_0
23209,682636_1,38825_682636_1
23273,682946_0,38846_682946_0
23277,682946_1,38846_682946_1
23433,684249_0,38913_684249_0
23437,684249_1,38913_684249_1
23464,684589_0,38928_684589_0
23465,684590_1,38928_684590_1
23472,684589_1,38928_684589_1
23473,684590_0,38928_684590_0
23489,684595_0,38928_684595_0
23490,684591_0,38928_684591_0
23497,684595_1,38928_684595_1
23549,685217_0,38951_685217_0
23553,685217_1,38951_685217_1
23601,685671_0,38975_685671_0
23605,685671_1,38975_685671_1
23616,685945_0,38992_685945_0
23620,685945_1,38992_685945_1
23638,685956_0,38992_685956_0
23639,685956_1,38992_685956_1
23646,685956_2,38992_685956_2
23761,687081_0,39051_687081_0
23762,687081_1,39051_687081_1
23769,687081_2,39051_687081_2
23804,687363_0,39064_687363_0
23808,687363_1,39064_687363_1
23813,687368_0,39064_687368_0
23817,687368_1,39064_687368_1
23907,688004_0,39091_688004_0
23911,688004_1,39091_688004_1
23915,688005_0,39091_688005_0
23919,688005_1,39091_688005_1
23942,688030_0,39092_688030_0
23946,688030_1,39092_688030_1
23950,688034_0,39092_688034_0
23954,688034_1,39092_688034_1
23969,688076_0,39094_688076_0
23973,688076_1,39094_688076_1
24027,688581_0,39123_688581_0
24031,688581_1,39123_688581_1
24035,688582_0,39123_688582_0
24039,688582_1,39123_688582_1
24062,689613_0,39175_689613_0
24066,689613_1,39175_689613_1
24073,689624_0,39175_689624_0
24074,689624_1,39175_689624_1
24081,689624_2,39175_689624_2
24093,689729_0,39180_689729_0
24097,689729_1,39180_689729_1
24114,689736_0,39180_689736_0
24118,689736_1,39180_689736_1
24174,689857_0,39185_689857_0
24175,689857_1,39185_689857_1
24182,689857_2,39185_689857_2
24340,691512_0,39263_691512_0
24344,691512_1,39263_691512_1
24381,691841_0,39282_691841_0
24385,691841_1,39282_691841_1
24386,691842_0,39282_691842_0
24436,692105_0,39297_692105_0
24440,692105_1,39297_692105_1
24444,692138_0,39301_692138_0
24445,692149_0,39301_692149_0
24452,692138_1,39301_692138_1
24453,692149_1,39301_692149_1
24548,692183_0,39302_692183_0
24552,692183_1,39302_692183_1
24590,692383_0,39313_692383_0
24594,692383_1,39313_692383_1
24598,692530_0,39321_692530_0
24602,692530_1,39321_692530_1
24671,694724_0,39439_694724_0
24675,694724_1,39439_694724_1
24691,694809_0,39443_694809_0
24695,694809_1,39443_694809_1
24787,695383_0,39477_695383_0
24791,695383_1,39477_695383_1
24831,695614_0,39493_695614_0
24835,695614_1,39493_695614_1
24841,696112_0,39531_696112_0
24845,696112_1,39531_696112_1
24878,696188_0,39535_696188_0
24882,696188_1,39535_696188_1
24886,696189_0,39535_696189_0
24887,696190_1,39535_696190_1
24894,696189_1,39535_696189_1
24895,696190_0,39535_696190_0
24975,696413_0,39551_696413_0
24979,696413_1,39551_696413_1
24987,696426_0,39552_696426_0
24991,696426_1,39552_696426_1
25005,696430_0,39552_696430_0
25009,696430_1,39552_696430_1
25017,696487_0,39553_696487_0
25018,696438_0,39553_696438_0
25025,696487_1,39553_696487_1
25026,696438_1,39553_696438_1
25033,696467_0,39553_696467_0
25037,696467_1,39553_696467_1
25045,696500_0,39555_696500_0
25049,696500_1,39555_696500_1
25080,696526_0,39557_696526_0
25084,696526_1,39557_696526_1
25104,697001_0,39585_697001_0
25108,697002_0,39585_697002_0
25159,697215_0,39596_697215_0
25163,697215_1,39596_697215_1
25211,698045_0,39641_698045_0
25215,698045_1,39641_698045_1
25219,698046_0,39641_698046_0
25223,698046_1,39641_698046_1
25281,699532_0,39710_699532_0
25285,699533_0,39710_699533_0
25322,699992_0,39738_699992_0
25326,699992_1,39738_699992_1
25355,700124_0,39745_700124_0
25359,700124_1,39745_700124_1
25371,700211_0,39750_700211_0
25375,700211_1,39750_700211_1
25400,700454_0,39765_700454_0
25404,700454_1,39765_700454_1
25409,700582_0,39771_700582_0
25413,700582_1,39771_700582_1
25495,702006_0,39848_702006_0
25500,702006_2,39848_702006_2
25504,702009_0,39848_702009_0
25508,702009_1,39848_702009_1
25617,703907_0,39942_703907_0
25621,703907_1,39942_703907_1
25625,703908_0,39942_703908_0
25629,703908_1,39942_703908_1
25667,704533_0,39972_704533_0
25671,704533_1,39972_704533_1
25686,705221_0,40009_705221_0
25690,705221_1,40009_705221_1
25735,706175_0,40051_706175_0
25739,706177_0,40051_706177_0
25743,706180_0,40051_706180_0
25764,707003_0,40091_707003_0
25768,707004_0,40091_707004_0
25780,707022_0,40092_707022_0
25784,707022_1,40092_707022_1
25877,708179_0,40142_708179_0
25881,708180_0,40142_708180_0
25906,708206_0,40143_708206_0
25910,708205_0,40143_708205_0
25918,708345_0,40149_708345_0
25922,708346_0,40149_708346_0
25949,708760_0,40168_708760_0
25953,708760_1,40168_708760_1
25990,708900_0,40176_708900_0
25994,708901_0,40176_708901_0
25998,708902_0,40176_708902_0
26002,708903_0,40176_708903_0
26014,708944_0,40178_708944_0
26018,708944_1,40178_708944_1
26118,709727_0,40217_709727_0
26122,709727_1,40217_709727_1
26132,709768_0,40221_709768_0
26136,709769_0,40221_709769_0
26150,709776_0,40221_709776_0
26154,709777_0,40221_709777_0
26192,711327_0,40292_711327_0
26196,711328_0,40292_711328_0
26243,711522_0,40298_711522_0
26274,711573_0,40301_711573_0
26278,711573_1,40301_711573_1
26290,711937_0,40326_711937_0
26294,711937_1,40326_711937_1
26424,715174_0,40502_715174_0
26428,715174_1,40502_715174_1
26551,717560_0,40629_717560_0
26555,717560_1,40629_717560_1
26559,717592_0,40631_717592_0
26563,717593_0,40631_717593_0
26727,719581_0,40751_719581_0
26731,719581_1,40751_719581_1
26859,719971_0,40776_719971_0
26863,719971_1,40776_719971_1
26906,720790_0,40829_720790_0
26910,720790_1,40829_720790_1
26959,720916_0,40836_720916_0
26963,720916_1,40836_720916_1
26967,720914_0,40836_720914_0
26971,720914_1,40836_720914_1
27087,721742_0,40883_721742_0
27091,721742_1,40883_721742_1
27154,722617_0,40932_722617_0
27158,722617_1,40932_722617_1
27162,722616_0,40932_722616_0
27166,722616_1,40932_722616_1
27224,722741_0,40939_722741_0
27228,722741_1,40939_722741_1
27232,722742_0,40939_722742_0
27236,722742_1,40939_722742_1
27391,724137_0,41014_724137_0
27395,724137_1,41014_724137_1
27399,724138_0,41014_724138_0
27403,724138_1,41014_724138_1
27616,726686_0,41139_726686_0
27617,726682_0,41139_726682_0
27628,726682_1,41139_726682_1
27690,727045_0,41156_727045_0
27694,727046_0,41156_727046_0
27710,727388_0,41172_727388_0
27714,727389_0,41172_727389_0
27718,727380_0,41172_727380_0
27722,727381_0,41172_727381_0
27751,728013_0,41195_728013_0
27752,728013_1,41195_728013_1
27759,728013_2,41195_728013_2
27763,728014_0,41195_728014_0
27767,728014_1,41195_728014_1
27782,728233_0,41203_728233_0
27786,728233_1,41203_728233_1
27850,728412_1,41214_728412_1
27854,728412_0,41214_728412_0
27922,728929_0,41239_728929_0
27926,728930_0,41239_728930_0
27930,728931_0,41239_728931_0
27934,728932_0,41239_728932_0
27970,729050_0,41246_729050_0
27974,729050_1,41246_729050_1
28020,729261_0,41255_729261_0
28024,729261_1,41255_729261_1
28028,729263_0,41255_729263_0
28032,729263_1,41255_729263_1
28045,729495_0,41268_729495_0
28049,729495_1,41268_729495_1
28053,729497_0,41268_729497_0
28054,729497_2,41268_729497_2
28062,729497_1,41268_729497_1
28087,729759_0,41277_729759_0
28091,729759_1,41277_729759_1
28113,729889_0,41283_729889_0
28117,729889_1,41283_729889_1
28124,729959_0,41287_729959_0
28128,729959_1,41287_729959_1
28163,729967_0,41287_729967_0
28167,729967_1,41287_729967_1
28171,730062_0,41290_730062_0
28175,730062_1,41290_730062_1
28179,730063_0,41290_730063_0
28183,730063_1,41290_730063_1
28226,730960_0,41329_730960_0
28230,730961_0,41329_730961_0
28248,731259_0,41341_731259_0
28252,731259_1,41341_731259_1
28256,731260_0,41341_731260_0
28260,731260_1,41341_731260_1
28275,731591_0,41357_731591_0
28279,731591_1,41357_731591_1
28337,732100_0,41389_732100_0
28341,732100_1,41389_732100_1
28419,733087_0,41433_733087_0
28423,733087_1,41433_733087_1
28427,733088_0,41433_733088_0
28431,733088_1,41433_733088_1
28475,733828_0,41467_733828_0
28479,733828_1,41467_733828_1
28509,-1_-1,41508_-1_-1
28626,736122_0,41575_736122_0
28630,736122_1,41575_736122_1
28655,736333_0,41587_736333_0
28659,736333_1,41587_736333_1
28673,736516_0,41593_736516_0
28677,736516_1,41593_736516_1
28681,736517_0,41593_736517_0
28685,736517_1,41593_736517_1
28698,736583_0,41596_736583_0
28704,736583_1,41596_736583_1
28766,736989_0,41621_736989_0
28770,736989_1,41621_736989_1
28866,738301_0,41686_738301_0
28870,738301_1,41686_738301_1
28874,738302_0,41686_738302_0
28878,738302_1,41686_738302_1
28996,739447_0,41740_739447_0
29000,739447_1,41740_739447_1
29004,739448_0,41740_739448_0
29008,739448_1,41740_739448_1
29047,-1_-1,41805_-1_-1
29093,741576_0,41860_741576_0
29097,741576_1,41860_741576_1
29142,741814_0,41874_741814_0
29146,741814_1,41874_741814_1
29155,742152_0,41889_742152_0
29159,742153_0,41889_742153_0
29163,742153_1,41889_742153_1
29167,742152_1,41889_742152_1
29260,742392_0,41896_742392_0
29261,742396_0,41896_742396_0
29262,742392_1,41896_742392_1
29272,742396_1,41896_742396_1
